stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id
609,4044RR,Campolongo,,46.149607,11.269109,4044
610,4015RR,Pine'. Bivio,,46.081958,11.196437,1100
611,4010RR,Ponte Alto,,46.073949,11.150313,4010
612,0001PA,Trento. Port'aquila,,46.069729,11.128322,0001
613,0001VP,Trento. Via Perini,,46.060824,11.124149,0001
614,1100PI,Civezzano. Centro Europa,,46.083653,11.198160,1100
615,1100SE,Civezzano. Quadrivio,,46.090069,11.185165,1100
616,1100,Civezzano,,46.091870,11.183170,1100
617,4080,Cire'. Strada Statale,,46.077144,11.204337,4080
618,1001BS,Torchio,,46.090706,11.197405,1001
619,1101,Cogatti,,46.093810,11.197011,1001
620,1102,Seregnano,,46.094473,11.200440,1001
621,1103,Roverè,,46.090453,11.193243,1103
622,1104,Bampi. Bivio,,46.093748,11.190637,1103
623,1098,Barbaniga,,46.101737,11.186336,1098
624,1105,S. Agnese,,46.106352,11.183638,1105
625,1105DF,S.Agnese. Via Delle Scornie,,46.106520,11.186155,1105
626,1107,Mazzanigo,,46.103636,11.189191,1105
627,1108CV,Penedallo. Via Alle Praderie,,46.102448,11.192425,1105
628,1108,Penedallo,,46.101015,11.192549,1105
629,1106,Bosco,,46.111066,11.170987,1106
630,1106CA,Bosco. Loc. Canova,,46.113878,11.175537,1106
632,1001,Torchio. S.P. 71,,46.091408,11.198339,1001
633,1110,Valle Fornace,,46.111868,11.210359,1110
634,1111BV,Fornace. Bivio,,46.119113,11.216113,1111
636,1111,Fornace,,46.118059,11.208109,1111
637,1111CA,Fornace. Via Dei Pradolini 4,,46.120276,11.208418,1111
638,1117,S.Stefano,,46.128532,11.212036,1111
639,1111MD,Fornace. Maso Donati,,46.120440,11.216452,1111
640,1112CO,Lases,,46.143537,11.218870,1112
641,1113MO,Albiano. Via Roma Civ.35,,46.143815,11.198962,1112
642,1113,Albiano,,46.144616,11.193775,1112
643,1113VS,Albiano. Via S.Antonio,,46.146255,11.190461,1112
644,1113VD,Albiano Via S.Antonio 90,,46.148465,11.187402,1112
646,1112,Lases. Civ. 30,,46.144612,11.219167,1112
647,1112RM,Lases. Loc. Ronc Del Mela,,46.149543,11.221567,1112
648,1114VP,Lona. Via Provinciale,,46.156074,11.230499,1114
649,1114,Lona,,46.159058,11.233019,1114
